"Date","Adj Close"
04/16/10,34
04/15/10,34.39
04/14/10,35.02
04/13/10,34.75
04/12/10,35.02
04/09/10,35.47
04/08/10,34.94
04/07/10,35.06
04/06/10,35.7
04/05/10,35.99
04/01/10,35.74
03/31/10,35.37
03/30/10,35.68
03/29/10,35.74
03/26/10,35.51
03/25/10,35.87
03/24/10,36.51
03/23/10,35.22
03/22/10,34.95
03/19/10,34.67
03/18/10,35.75
03/17/10,35.49
03/16/10,35.02
03/15/10,35.49
03/12/10,35.16
03/11/10,35.22
03/10/10,35.15
03/09/10,35.12
03/08/10,35.06
03/05/10,35.16
03/04/10,34.94
03/03/10,34.82
03/02/10,34.74
03/01/10,34.89
02/26/10,34.65
02/25/10,34.56
02/24/10,34.55
02/23/10,33.44
02/22/10,33.7
02/19/10,33.88
02/18/10,33.24
02/17/10,32.33
02/16/10,31.81
02/12/10,31.45
02/11/10,32.64
02/10/10,32.76
02/09/10,32.31
02/08/10,32.05
02/05/10,32.77
02/04/10,32.24
02/03/10,32.98
02/02/10,32.98
02/01/10,32.48
01/29/10,32.3
01/28/10,32.89
01/27/10,33.14
01/26/10,33.94
01/25/10,34.16
01/22/10,34.38
01/21/10,35.82
01/20/10,36.49
01/19/10,36.95
01/15/10,35.87
01/14/10,35.9
01/13/10,36.28
01/12/10,35.66
01/11/10,36.21
01/08/10,36.69
01/07/10,36.89
01/06/10,37.62
01/05/10,37.7
01/04/10,37.09
12/31/09,36.78
12/30/09,37.18
12/29/09,37.21
12/28/09,37.19
12/24/09,37.17
12/23/09,36.93
12/22/09,37.34
12/21/09,37.28
12/18/09,37.34
12/17/09,37.01
12/16/09,37.86
12/15/09,36.36
12/14/09,35.78
12/11/09,35.38
12/10/09,35.8
12/09/09,35.85
12/08/09,36.08
12/07/09,36.37
12/04/09,36.5
12/03/09,36
12/02/09,36.5
12/01/09,36.4
11/30/09,35.08
11/27/09,35.38
11/25/09,36.17
11/24/09,35.95
11/23/09,36.44
11/20/09,35.81
11/19/09,36.11
11/18/09,36.59
11/17/09,36.9
11/16/09,36.81
11/13/09,36.51
11/12/09,35.61
11/11/09,35.92
11/10/09,36.6
11/09/09,36.45
11/06/09,34.65
11/05/09,34.7
11/04/09,33.86
11/03/09,33.01
11/02/09,32.87
10/30/09,32.94
10/29/09,33.54
10/28/09,32.83
10/27/09,33.95
10/26/09,34.45
10/23/09,34.78
10/22/09,35.17
10/21/09,34.81
10/20/09,35.41
10/19/09,35.65
10/16/09,35.67
10/15/09,35.75
10/14/09,35.43
10/13/09,34.62
10/12/09,34.36
10/09/09,34.64
10/08/09,34.33
10/07/09,33.26
10/06/09,33.51
10/05/09,32.55
10/02/09,32.35
10/01/09,32.18
09/30/09,33.04
09/29/09,32.68
09/28/09,32.93
09/25/09,32.03
09/24/09,32.32
09/23/09,32.71
09/22/09,33.11
09/21/09,32.85
09/18/09,32.95
09/17/09,32.84
09/16/09,33.35
09/15/09,35.62
09/14/09,35.19
09/11/09,34.65
09/10/09,34.02
09/09/09,32.8
09/08/09,32.51
09/04/09,32.05
09/03/09,31.49
09/02/09,31
09/01/09,31.1
08/31/09,31.42
08/28/09,31.73
08/27/09,32.46
08/26/09,32.51
08/25/09,32.67
08/24/09,32.73
08/21/09,32.84
08/20/09,32.1
08/19/09,31.72
08/18/09,31.72
08/17/09,31.21
08/14/09,32.27
